City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
1,Outram,MY,77.0,broken clouds,1.2829,103.8379,Grand Copthorne Waterfront
2,Busselton,AU,64.0,light rain,-33.65,115.3333,Observatory Guest House
6,Boa Vista,BR,86.0,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
7,Bambous Virieux,MU,78.8,broken clouds,-20.3428,57.7575,Casa Tia Villa
9,Dingle,PH,75.31,light rain,10.9995,122.6711,SEGAYA PROPERTY
10,Mahibadhoo,MV,81.82,overcast clouds,3.7833,72.9667,Omadhoo Inn
11,Tartagal,AR,83.19,scattered clouds,-22.5164,-63.8013,Almuñecar Hotel
13,Cacule,BR,73.78,overcast clouds,-14.5033,-42.2222,Radar Palace Hotel
15,Hilo,US,77.0,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
17,Butaritari,KI,80.98,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
18,Cimitarra,CO,87.46,broken clouds,6.3142,-73.9497,HOTEL CARARE PLAZA
19,Balabac,PH,80.62,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
20,Guerrero Negro,MX,72.37,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
24,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
25,Manono,CD,71.87,light rain,-7.3,27.4167,Hotel hewa bora
28,Buchanan,LR,78.8,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
32,Felipe Carrillo Puerto,MX,84.51,scattered clouds,19.5833,-88.05,Hotel La Ceiba
33,Mozarlandia,BR,73.96,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
35,Richards Bay,ZA,68.4,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
37,Tuatapere,NZ,66.0,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
40,Pitimbu,BR,75.2,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
42,Panalingaan,PH,77.49,broken clouds,8.7842,117.4231,I Love Panalingaan View Deck
43,Bluff,NZ,66.0,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
44,Chuy,UY,73.08,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
45,Rikitea,PF,78.31,scattered clouds,-23.1203,-134.9692,Pension Maro'i
46,Kalangala,UG,80.6,few clouds,-0.3089,32.225,Ssese Habitat Resort
48,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
52,Biak,ID,76.42,overcast clouds,-0.9131,122.8766,Penginapan Kim
53,Avarua,CK,82.4,few clouds,-21.2078,-159.775,Paradise Inn
54,Puerto Ayora,EC,86.0,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Talara,PE,77.0,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
56,Atuona,PF,79.86,few clouds,-9.8,-139.0333,Villa Enata
58,Elizabeth City,US,62.6,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
60,Sao Joao Da Barra,BR,78.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
61,Mar Del Plata,AR,73.4,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
63,Port Alfred,ZA,66.99,broken clouds,-33.5906,26.891,The Halyards Hotel
65,Kloulklubed,PW,75.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
67,Alofi,NU,84.2,moderate rain,-19.0595,-169.9187,Taloa Heights
71,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
72,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
73,Cape Town,ZA,69.01,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
77,Comodoro Rivadavia,AR,62.6,broken clouds,-45.8667,-67.5,Hotel del Mar
80,Port Elizabeth,ZA,68.0,light rain,-33.918,25.5701,39 On Nile Guest House
81,Hermanus,ZA,72.0,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
82,Ballina,AU,72.0,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
83,Kavaratti,IN,80.64,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
87,Diego De Almagro,CL,76.35,clear sky,-26.3667,-70.05,hotel luna del desierto
88,Cayenne,GF,78.8,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
89,Cidreira,BR,74.71,light rain,-30.1811,-50.2056,Hotel Castelo
90,Hambantota,LK,73.54,clear sky,6.1241,81.1185,Bungalow 63
91,Isangel,VU,82.4,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
94,Innisfail,AU,71.15,overcast clouds,-17.5333,146.0333,Moondarra Motel
95,Lebu,CL,63.93,few clouds,-37.6167,-73.65,Hostal Las Lilas
98,Nouakchott,MR,69.8,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
99,Sabang,ID,81.36,broken clouds,5.8933,95.3214,Hotel Citra
100,Kavieng,PG,83.97,light rain,-2.5744,150.7967,Nusa Island Retreat
102,Arraial Do Cabo,BR,78.8,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
103,Sao Jose Da Coroa Grande,BR,78.6,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
104,Tampakan,PH,73.26,clear sky,6.4442,124.9264,Green Palm Resort
106,Aparecida Do Taboado,BR,75.09,few clouds,-20.0867,-51.0936,Aritana
107,Tandil,AR,81.0,scattered clouds,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
109,Saldanha,ZA,62.6,clear sky,-33.0117,17.9442,Blue Bay Lodge
110,Ratnagiri,IN,74.61,clear sky,16.9833,73.3,Hotel Landmark
