City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cockburn Town,TC,21.4612,-71.1419,78.8,57,40,13.8,scattered clouds
1,Outram,MY,1.2829,103.8379,77.0,88,75,6.91,broken clouds
2,Busselton,AU,-33.65,115.3333,64.0,88,98,1.01,light rain
3,Kalispell,US,48.1958,-114.3129,44.6,49,1,13.8,clear sky
4,Juneau,US,58.3019,-134.4197,37.4,87,90,11.5,light rain
5,Hobart,AU,-42.8794,147.3294,53.6,62,75,12.66,broken clouds
6,Boa Vista,BR,2.8197,-60.6733,86.0,48,75,16.11,broken clouds
7,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,75,8.05,broken clouds
8,Barrow,US,71.2906,-156.7887,-18.4,69,40,6.91,haze
9,Dingle,PH,10.9995,122.6711,75.31,89,95,6.85,light rain
10,Mahibadhoo,MV,3.7833,72.9667,81.82,70,99,10.0,overcast clouds
11,Tartagal,AR,-22.5164,-63.8013,83.19,53,30,2.89,scattered clouds
12,Baoning,CN,25.3378,110.026,50.0,76,40,8.95,scattered clouds
13,Cacule,BR,-14.5033,-42.2222,73.78,68,90,8.39,overcast clouds
14,Kodiak,US,57.79,-152.4072,39.2,56,90,27.63,light rain
15,Hilo,US,19.7297,-155.09,77.0,65,75,16.11,light rain
16,Vestmannaeyjar,IS,63.4427,-20.2734,41.16,69,100,11.07,overcast clouds
17,Butaritari,KI,3.0707,172.7902,80.98,78,100,16.98,overcast clouds
18,Cimitarra,CO,6.3142,-73.9497,87.46,59,64,1.07,broken clouds
19,Balabac,PH,7.9868,117.0645,80.62,81,86,10.2,overcast clouds
20,Guerrero Negro,MX,27.9769,-114.0611,72.37,13,0,7.25,clear sky
21,Oslo,NO,59.9127,10.7461,41.0,80,100,3.74,overcast clouds
22,Krasnoborsk,RU,61.5598,45.934,33.39,95,100,8.7,snow
23,Erenhot,CN,43.6475,111.9767,16.68,88,0,6.76,clear sky
24,Acapulco,MX,16.8634,-99.8901,82.4,69,1,8.05,clear sky
25,Manono,CD,-7.3,27.4167,71.87,93,100,2.55,light rain
26,Husavik,IS,66.0449,-17.3389,39.2,60,75,9.22,broken clouds
27,Airai,TL,-8.9266,125.4092,58.82,89,84,1.48,broken clouds
28,Buchanan,LR,5.8808,-10.0467,78.8,94,20,4.0,few clouds
29,Punta Arenas,CL,-53.15,-70.9167,55.4,38,0,17.27,clear sky
30,Bhakkar,PK,31.6253,71.0657,56.3,36,0,3.69,clear sky
31,Marzuq,YE,14.4,46.4667,61.48,32,0,5.68,clear sky
32,Felipe Carrillo Puerto,MX,19.5833,-88.05,84.51,58,26,8.88,scattered clouds
33,Mozarlandia,BR,-14.7447,-50.5706,73.96,89,64,2.66,broken clouds
34,Ornskoldsvik,SE,63.2909,18.7153,35.6,80,3,14.97,clear sky
35,Richards Bay,ZA,-28.783,32.0377,68.4,85,0,3.58,clear sky
